16655826;Educacion matematica;SCIELO
0187893X;Educacion química;SCIELO
1870879X;En-claves del pensamiento;SCIELO
16657063;Enfermería universitaria;SCIELO
01886126;Escritos (Puebla);SCIELO
16650565;Espiral (Guadalajara);SCIELO
01852574;Estudios de cultura maya;SCIELO
00711675;Estudios de cultura nahuatl;SCIELO
01852620;Estudios de historia moderna y contemporanea de México;SCIELO
01852523;Estudios de historia novohispana;SCIELO
01876961;Estudios fronterizos;SCIELO
01851616;Estudios políticos (México);SCIELO
01884557;Estudios sociales (Hermosillo, Son.);SCIELO
17262216;Ecología Aplicada;SCIELO
08737444;Economia Global e Gestão;SCIELO
08736561;Etnografica;SCIELO
08745560;Ex aequo;SCIELO
0104026X;Estudos Feministas;SCIELO
14130580;Estudos Sociedade e Agricultura;SCIELO
01035150;Fisioterapia em Movimento;SCIELO
18092950;Fisioterapia e Pesquisa;SCIELO
01004158;Fitopatologia Brasileira;SCIELO
21798087;Floresta e Ambiente;SCIELO
01012061;Food Science and Technology (Campinas);SCIELO
19840292;Fractal: Revista de Psicologia;SCIELO
1021545X;Fundamina ;SCIELO
07185006;Formacion universitaria;SCIELO
01234870;Folios;SCIELO
0120338X;Forma y Funcion;SCIELO
01201468;Franciscanum. Revista de las Ciencias del Espíritu;SCIELO
15623009;Fitosanidad;SCIELO
11306343;Farmacia Hospitalaria;SCIELO
20149832;FEM: Revista de la Fundacion Educacion Médica;SCIELO
01877372;Frontera norte;SCIELO
10291733;Folia Dermatologica Peruana;SCIELO
04305027;Finisterra - Revista Portuguesa de Geografia;SCIELO
18527744;Geoacta;SCIELO
19822553;Galaxia (São Paulo);SCIELO
14154757;Genetics and Molecular Biology;SCIELO
0104530X;Gestão e Produção;SCIELO
07176643;Gayana. Botanica;SCIELO
07176538;Gayana (Concepcion);SCIELO
16088921;Gaceta Medica Espirituana;SCIELO
02139111;Gaceta Sanitaria;SCIELO
1134928X;Gerokomos;SCIELO
00163813;Gaceta médica de México;SCIELO
00167169;Geofísica internacional;SCIELO
